week,profile_id,sim_index,metric,value
3,adaptive_elastic_v1,0,retention_absolute,1.125500
3,adaptive_elastic_v1,0,retention_rate,0.975500
4,adaptive_elastic_v1,0,price,0.082420
4,adaptive_elastic_v1,0,supply,524895247.859920
4,adaptive_elastic_v1,0,minted,981734.365364
4,adaptive_elastic_v1,0,burned,9099.691672
4,adaptive_elastic_v1,0,providers,5815.000000
4,adaptive_elastic_v1,0,capacity,1047402.071124
4,adaptive_elastic_v1,0,utilization,2.864230
4,adaptive_elastic_v1,0,solvencyScore,0.009269
4,adaptive_elastic_v1,0,profit_avg_provider,-60.891626
4,adaptive_elastic_v1,0,incentive_ratio,-0.478803
4,adaptive_elastic_v1,0,retention_absolute,1.163000
4,adaptive_elastic_v1,0,retention_rate,0.900044
5,adaptive_elastic_v1,0,price,0.030321
5,adaptive_elastic_v1,0,supply,525852156.698767
5,adaptive_elastic_v1,0,minted,981644.365364
5,adaptive_elastic_v1,0,burned,24735.526517
5,adaptive_elastic_v1,0,providers,5950.000000
5,adaptive_elastic_v1,0,capacity,1075510.151050
5,adaptive_elastic_v1,0,utilization,2.789374
5,adaptive_elastic_v1,0,solvencyScore,0.025198
5,adaptive_elastic_v1,0,profit_avg_provider,-69.440470
5,adaptive_elastic_v1,0,incentive_ratio,-0.814469
5,adaptive_elastic_v1,0,retention_absolute,1.190000
5,adaptive_elastic_v1,0,retention_rate,0.900258
6,adaptive_elastic_v1,0,price,0.011154
6,adaptive_elastic_v1,0,supply,526766959.598548
6,adaptive_elastic_v1,0,minted,982041.032030
6,adaptive_elastic_v1,0,burned,67238.132249
6,adaptive_elastic_v1,0,providers,5355.000000
6,adaptive_elastic_v1,0,capacity,965970.924950
6,adaptive_elastic_v1,0,utilization,3.105684
