profile_id,metric,week,p25,median,p75
helium_bme_v1,retention_rate,6,0.900169,0.900169,0.900169
helium_bme_v1,retention_rate,7,0.900376,0.900376,0.900376
helium_bme_v1,retention_rate,8,0.900835,0.900835,0.900835
helium_bme_v1,retention_rate,9,0.900348,0.900348,0.900348
adaptive_elastic_v1,price,0,4.500000,4.500000,4.500000
adaptive_elastic_v1,price,1,1.655457,1.655457,1.655457
adaptive_elastic_v1,price,2,0.609009,0.609009,0.609009
adaptive_elastic_v1,price,3,0.224042,0.224042,0.224042
adaptive_elastic_v1,price,4,0.082420,0.082420,0.082420
adaptive_elastic_v1,price,5,0.030321,0.030321,0.030321
adaptive_elastic_v1,price,6,0.011154,0.011154,0.011154
adaptive_elastic_v1,price,7,0.004103,0.004103,0.004103
adaptive_elastic_v1,price,8,0.001510,0.001510,0.001510
adaptive_elastic_v1,price,9,0.000555,0.000555,0.000555
adaptive_elastic_v1,supply,0,520981577.393710,520981577.823154,520981577.823154
adaptive_elastic_v1,supply,1,521963055.221005,521963056.631147,521963056.631147
adaptive_elastic_v1,supply,2,522944101.410352,522944102.820494,522944102.820494
adaptive_elastic_v1,supply,3,523922592.929704,523922613.186229,523922613.186229
adaptive_elastic_v1,supply,4,524895207.603395,524895247.859920,524895247.859920
adaptive_elastic_v1,supply,5,525852074.775575,525852156.698767,525852156.698767
adaptive_elastic_v1,supply,6,526766839.342023,526766959.598548,526766959.598548
adaptive_elastic_v1,supply,7,527566429.847649,527566585.104174,527566585.104174
adaptive_elastic_v1,supply,8,528052289.548506,528052476.471697,528052476.471697
adaptive_elastic_v1,supply,9,527684753.259273,527684968.515798,527684968.515798
adaptive_elastic_v1,minted,0,982277.698697,982277.698697,982277.698697
adaptive_elastic_v1,minted,1,982277.698697,982277.698697,982277.698697
adaptive_elastic_v1,minted,2,982277.698697,982277.698697,982277.698697
adaptive_elastic_v1,minted,3,981837.698697,981859.365364,981859.365364
adaptive_elastic_v1,minted,4,981714.365364,981734.365364,981734.365364
adaptive_elastic_v1,minted,5,981602.698697,981644.365364,981644.365364
adaptive_elastic_v1,minted,6,982002.698697,982041.032030,982041.032030
adaptive_elastic_v1,minted,7,982362.698697,982397.698697,982397.698697
adaptive_elastic_v1,minted,8,982686.032030,982717.698697,982717.698697
adaptive_elastic_v1,minted,9,982977.698697,983006.032030,983006.032030
adaptive_elastic_v1,burned,0,699.875543,700.304987,700.304987
adaptive_elastic_v1,burned,1,798.890704,799.871402,799.871402
adaptive_elastic_v1,burned,2,1231.509350,1231.509350,1231.509350
adaptive_elastic_v1,burned,3,3347.589487,3347.589487,3347.589487
adaptive_elastic_v1,burned,4,9099.691672,9099.691672,9099.691672
adaptive_elastic_v1,burned,5,24735.526517,24735.526517,24735.526517
adaptive_elastic_v1,burned,6,67238.132249,67238.132249,67238.132249
adaptive_elastic_v1,burned,7,182772.193071,182772.193071,182772.193071
adaptive_elastic_v1,burned,8,496826.331174,496826.331174,496826.331174
adaptive_elastic_v1,burned,9,1350513.987929,1350513.987929,1350513.987929
adaptive_elastic_v1,providers,0,5000.000000,5000.000000,5000.000000
adaptive_elastic_v1,providers,1,5000.000000,5000.000000,5000.000000
adaptive_elastic_v1,providers,2,5000.000000,5000.000000,5000.000000
adaptive_elastic_v1,providers,3,5627.500000,5660.000000,5660.000000
adaptive_elastic_v1,providers,4,5815.000000,5845.000000,5845.000000
adaptive_elastic_v1,providers,5,5950.000000,6012.500000,6012.500000
adaptive_elastic_v1,providers,6,5355.000000,5412.500000,5412.500000
adaptive_elastic_v1,providers,7,4820.000000,4872.500000,4872.500000
adaptive_elastic_v1,providers,8,4340.000000,4387.500000,4387.500000
adaptive_elastic_v1,providers,9,3907.500000,3950.000000,3950.000000
adaptive_elastic_v1,capacity,0,891840.024310,903372.924857,903372.924857
adaptive_elastic_v1,capacity,1,891840.024310,903372.924857,903372.924857
adaptive_elastic_v1,capacity,2,891840.024310,903372.924857,903372.924857
adaptive_elastic_v1,capacity,3,1009958.347432,1023286.163908,1023286.163908
adaptive_elastic_v1,capacity,4,1047402.071124,1059988.972399,1059988.972399
adaptive_elastic_v1,capacity,5,1075510.151050,1092857.479934,1092857.479934
adaptive_elastic_v1,capacity,6,965970.924950,983981.647127,983981.647127
adaptive_elastic_v1,capacity,7,870157.635459,886531.981498,886531.981498
adaptive_elastic_v1,capacity,8,785008.772879,800024.622544,800024.622544
adaptive_elastic_v1,capacity,9,706494.419601,717599.064838,717599.064838
adaptive_elastic_v1,utilization,0,3.320888,3.363832,3.363832
adaptive_elastic_v1,utilization,1,3.320888,3.363832,3.363832
adaptive_elastic_v1,utilization,2,3.320888,3.363832,3.363832
adaptive_elastic_v1,utilization,3,2.931731,2.970420,2.970420
adaptive_elastic_v1,utilization,4,2.830218,2.864230,2.864230
adaptive_elastic_v1,utilization,5,2.745097,2.789374,2.789374
adaptive_elastic_v1,utilization,6,3.048837,3.105684,3.105684
adaptive_elastic_v1,utilization,7,3.383973,3.447651,3.447651
adaptive_elastic_v1,utilization,8,3.749885,3.821613,3.821613
adaptive_elastic_v1,utilization,9,4.180607,4.246318,4.246318
adaptive_elastic_v1,solvencyScore,0,0.000713,0.000713,0.000713
adaptive_elastic_v1,solvencyScore,1,0.000813,0.000814,0.000814
adaptive_elastic_v1,solvencyScore,2,0.001254,0.001254,0.001254
adaptive_elastic_v1,solvencyScore,3,0.003409,0.003410,0.003410
adaptive_elastic_v1,solvencyScore,4,0.009269,0.009269,0.009269
adaptive_elastic_v1,solvencyScore,5,0.025198,0.025199,0.025199
adaptive_elastic_v1,solvencyScore,6,0.068468,0.068470,0.068470
adaptive_elastic_v1,solvencyScore,7,0.186047,0.186054,0.186054
adaptive_elastic_v1,solvencyScore,8,0.505564,0.505580,0.505580
adaptive_elastic_v1,solvencyScore,9,1.373861,1.373901,1.373901
adaptive_elastic_v1,profit_avg_provider,0,807.523360,808.055965,808.055965
adaptive_elastic_v1,profit_avg_provider,1,248.697225,249.229830,249.229830
adaptive_elastic_v1,profit_avg_provider,2,43.116578,43.649183,43.649183
adaptive_elastic_v1,profit_avg_provider,3,-36.691766,-36.614830,-36.614830
adaptive_elastic_v1,profit_avg_provider,4,-60.891626,-60.766461,-60.766461
adaptive_elastic_v1,profit_avg_provider,5,-69.483049,-69.440470,-69.440470
adaptive_elastic_v1,profit_avg_provider,6,-72.536714,-72.374948,-72.374948
adaptive_elastic_v1,profit_avg_provider,7,-74.420146,-73.549888,-73.549888
adaptive_elastic_v1,profit_avg_provider,8,-74.327170,-73.611256,-73.611256
adaptive_elastic_v1,profit_avg_provider,9,-74.936167,-74.009770,-74.009770
adaptive_elastic_v1,incentive_ratio,0,0.500000,0.500000,0.500000
adaptive_elastic_v1,incentive_ratio,1,10.787332,10.787332,10.787332
adaptive_elastic_v1,incentive_ratio,2,3.336317,3.336317,3.336317
adaptive_elastic_v1,incentive_ratio,3,0.595242,0.595242,0.595242
adaptive_elastic_v1,incentive_ratio,4,-0.481808,-0.478803,-0.478803
adaptive_elastic_v1,incentive_ratio,5,-0.815425,-0.814469,-0.814469
adaptive_elastic_v1,incentive_ratio,6,-0.933998,-0.933302,-0.933302
adaptive_elastic_v1,incentive_ratio,7,-0.973016,-0.972726,-0.972726
adaptive_elastic_v1,incentive_ratio,8,-0.988969,-0.988849,-0.988849
adaptive_elastic_v1,incentive_ratio,9,-0.995492,-0.995442,-0.995442
adaptive_elastic_v1,retention_absolute,0,1.000000,1.000000,1.000000
adaptive_elastic_v1,retention_absolute,1,1.000000,1.000000,1.000000
adaptive_elastic_v1,retention_absolute,2,1.000000,1.000000,1.000000
adaptive_elastic_v1,retention_absolute,3,1.125500,1.132000,1.132000
adaptive_elastic_v1,retention_absolute,4,1.163000,1.169000,1.169000
adaptive_elastic_v1,retention_absolute,5,1.190000,1.202500,1.202500
adaptive_elastic_v1,retention_absolute,6,1.071000,1.082500,1.082500
adaptive_elastic_v1,retention_absolute,7,0.964000,0.974500,0.974500
adaptive_elastic_v1,retention_absolute,8,0.868000,0.877500,0.877500
adaptive_elastic_v1,retention_absolute,9,0.781500,0.790000,0.790000
adaptive_elastic_v1,retention_rate,0,1.000000,1.000000,1.000000
adaptive_elastic_v1,retention_rate,1,1.000000,1.000000,1.000000
adaptive_elastic_v1,retention_rate,2,1.000000,1.000000,1.000000
adaptive_elastic_v1,retention_rate,3,0.975500,0.982000,0.982000
adaptive_elastic_v1,retention_rate,4,0.900044,0.900177,0.900177
adaptive_elastic_v1,retention_rate,5,0.900258,0.900342,0.900342
adaptive_elastic_v1,retention_rate,6,0.900000,0.900208,0.900208
adaptive_elastic_v1,retention_rate,7,0.900093,0.900231,0.900231
adaptive_elastic_v1,retention_rate,8,0.900415,0.900462,0.900462
adaptive_elastic_v1,retention_rate,9,0.900285,0.900346,0.900346
